Brand;Total sales/registrations;Total sales/registrations [%];Price [EUR incl. tax];Top speed [km/h];Diesel [%];Hybrid (excl. plug-in hybrid) [%];Plug-in hybrid [%];Battery electric / fuel cell [%];Natural gas (mono-/bivalentincl. LPG) [%];Flex-Fuel (ethanol/gasoline) [%];Automatic [%];Front drive [%];Rear drive [%];4-wheel drive [%];Direct injection (non-diesel) [%];Euro 5 [%];Euro 6 [%];Engine power [KW];Engine size [ccm];Number of cylinders;Number of gears;Mass in running order [kg];Gross weight [kg];Payload [kg];Length [mm];Width [mm];Height [mm];Wheelbase [mm];Front track [mm];Rear track [mm];Footprint [m2];Seats;Doors;Fuel consumption (NEDC) [l/100 km];Fuel consumption (extra-urban) [l/100 km];Fuel consumption (urban) [l/100 km];CO2 (NEDC) [g/km]
VW;1646901;11;29126;198;47;0;1.0;0.5;1.0;0.2;37;88;0;12;73;1;99;96;1558;3.8;5.9;1415;1953;603;4363;1791;1553;2659;1537;1522;4.1;5.1;4.8;4.9;4.4;6.0;120
Renault;1130870;7;23102;182;49;0;0;2.4;0.7;0;19;92;7;1;46;4;96;78;1296;3.8;5.5;1307;1814;552;4257;1783;1539;2649;1538;1536;4.1;5.1;5.0;4.6;4.1;5.4;107
Ford;1025629;7;25593;188;44;0.1;0;0;1.2;0;18;91;1;8;58;3;97;94;1472;3.7;5.6;1412;1931;576;4351;1817;1580;2641;1545;1538;4.1;5.2;4.8;5.0;4.4;6.1;122
Peugeot;910375;6;24353;185;49;0;0;0.2;0.4;0;19;100;0;0;52;2;98;80;1411;3.6;5.5;1272;1760;536;4213;1790;1536;2609;1520;1523;4.0;5.1;4.9;4.3;3.8;5.1;104
Mercedes-Benz;874999;6;47243;221;68;0.2;2.1;0.1;0;0;75;35;34;31;94;2;98;135;2085;4.3;7.3;1683;2263;595;4657;1835;1530;2836;1589;1578;4.5;5.0;4.5;5.2;4.6;6.4;129
Audi;798256;5;41619;219;59;0;1.1;0;0.3;0;64;62;0;38;74;0;100;133;1915;4.2;6.6;1565;2068;529;4507;1830;1477;2713;1565;1560;4.2;4.9;4.7;5.0;4.5;6.0;124
BMW;789154;5;46633;218;68;0;4.8;1.0;0;0;66;16;49;34;100;0;100;143;2086;4.2;7.1;1631;2151;586;4583;1827;1510;2786;1568;1589;4.4;5.0;4.5;4.9;4.4;6.0;122
Fiat;773215;5;1807;173;36;0;0;0;6.1;0;5;96;1;3;0;5;95;69;1357;3.9;5.3;1224;1642;474;3978;1711;1564;2497;1480;1478;3.7;4.5;4.4;5.0;4.2;6.2;119
Opel;73055;5;22448;190;30;0;0;0.1;3.8;0;11;96;0;4;27;3;97;85;1414;3.9;5.6;1357;1830;488;4300;1783;1551;2597;1520;1521;4.0;5.1;4.8;5.1;4.4;6.4;122
�koda;674711;4;23531;198;41;0;0;0;1.2;0;27;87;0;13;74;2;98;91;1464;3.7;5.9;1318;1832;563;4423;1782;1493;2620;1507;1502;3.9;5.0;5.0;4.8;4.2;5.8;115
Toyota;654897;4;2416;172;8;48.9;0.3;0;0;0;57;94;0;5;7;12;88;75;1583;3.8;5.5;1302;1735;487;4193;1740;1530;2574;1507;1505;3.9;5.0;4.9;4.3;4.0;4.9;101
Citro�n;561544;4;20675;178;43;0;0;0.3;0.9;0;13;99;0;1;34;3;97;73;1368;3.4;5.3;1196;1715;570;4144;1758;1547;2609;1502;1502;3.9;5.1;4.9;4.3;3.8;5.2;105
Nissan;552604;4;26176;181;47;0;0;2.6;0.5;0;19;94;0;6;65;20;80;86;1393;3.9;5.6;1371;1831;510;4300;1780;1581;2616;1544;1545;4.0;5.1;5.0;4.9;4.4;5.8;116
Hyundai;509351;3;22279;179;32;2.9;0.1;0.8;1.2;0;19;93;1;7;38;7;93;81;1424;3.8;5.7;1341;1799;502;4223;1777;1544;2600;1553;1560;4.0;5.0;5.0;5.1;4.5;6.3;123
Kia;457808;3;23371;180;39;6.6;0.9;1.0;1.1;0;25;91;0;9;42;10;90;85;1488;3.8;5.8;1360;1842;526;4259;1776;1543;2621;1551;1558;4.1;5.1;5.0;5.0;4.5;6.2;121
Dacia;454182;3;12867;169;39;0;0;0;8.3;0;5;90;0;10;15;2;98;71;1243;3.6;5.3;1187;1670;513;4241;1768;1609;2651;1517;1512;4.0;5.1;5.0;5.1;4.6;5.9;118
Seat;389072;3;23579;195;29;0;0;0;1.0;0;17;93;0;7;77;3;97;92;1393;3.7;5.7;1289;1795;559;4283;1788;1499;2604;1522;1507;3.9;5.1;4.9;4.9;4.3;6.0;117
Volvo;282023;2;44225;209;79;0;3.8;0;0.2;0;72;61;0;39;95;1;99;134;2000;4.1;7.1;1796;2324;565;4663;1872;1573;2801;1615;1606;4.5;5.1;4.9;4.9;4.4;5.9;124
