Rainfall - (MM), Year, Statistics, Country, ISO3
42.3261, 1991, Jan Average, Spain, ESP
72.7862, 1991, Feb Average, Spain, ESP
83.6497, 1991, Mar Average, Spain, ESP
47.3616, 1991, Apr Average, Spain, ESP
26.7661, 1991, May Average, Spain, ESP
21.4699, 1991, Jun Average, Spain, ESP
15.3998, 1991, Jul Average, Spain, ESP
9.89944, 1991, Aug Average, Spain, ESP
57.9795, 1991, Sep Average, Spain, ESP
68.5133, 1991, Oct Average, Spain, ESP
52.8811, 1991, Nov Average, Spain, ESP
31.3396, 1991, Dec Average, Spain, ESP
24.91, 1992, Jan Average, Spain, ESP
31.8374, 1992, Feb Average, Spain, ESP
32.8048, 1992, Mar Average, Spain, ESP
39.3999, 1992, Apr Average, Spain, ESP
52.688, 1992, May Average, Spain, ESP
86.2096, 1992, Jun Average, Spain, ESP
13.4782, 1992, Jul Average, Spain, ESP
39.3381, 1992, Aug Average, Spain, ESP
37.4486, 1992, Sep Average, Spain, ESP
105.887, 1992, Oct Average, Spain, ESP
16.9541, 1992, Nov Average, Spain, ESP
57.1814, 1992, Dec Average, Spain, ESP
9.84042, 1993, Jan Average, Spain, ESP
35.8736, 1993, Feb Average, Spain, ESP
37.2452, 1993, Mar Average, Spain, ESP
67.2964, 1993, Apr Average, Spain, ESP
83.2678, 1993, May Average, Spain, ESP
37.8157, 1993, Jun Average, Spain, ESP
10.3168, 1993, Jul Average, Spain, ESP
26.3834, 1993, Aug Average, Spain, ESP
53.6605, 1993, Sep Average, Spain, ESP
121.215, 1993, Oct Average, Spain, ESP
57.4593, 1993, Nov Average, Spain, ESP
28.6749, 1993, Dec Average, Spain, ESP
55.7147, 1994, Jan Average, Spain, ESP
55.7408, 1994, Feb Average, Spain, ESP
9.56449, 1994, Mar Average, Spain, ESP
39.9833, 1994, Apr Average, Spain, ESP
71.627, 1994, May Average, Spain, ESP
14.8616, 1994, Jun Average, Spain, ESP
9.67824, 1994, Jul Average, Spain, ESP
10.8496, 1994, Aug Average, Spain, ESP
56.0634, 1994, Sep Average, Spain, ESP
78.4315, 1994, Oct Average, Spain, ESP
57.8346, 1994, Nov Average, Spain, ESP
40.5085, 1994, Dec Average, Spain, ESP
40.1653, 1995, Jan Average, Spain, ESP
46.6261, 1995, Feb Average, Spain, ESP
21.4264, 1995, Mar Average, Spain, ESP
24.4919, 1995, Apr Average, Spain, ESP
36.0489, 1995, May Average, Spain, ESP
36.959, 1995, Jun Average, Spain, ESP
17.4668, 1995, Jul Average, Spain, ESP
19.5509, 1995, Aug Average, Spain, ESP
33.2986, 1995, Sep Average, Spain, ESP
19.261, 1995, Oct Average, Spain, ESP
81.817, 1995, Nov Average, Spain, ESP
145.944, 1995, Dec Average, Spain, ESP
146.559, 1996, Jan Average, Spain, ESP
53.4243, 1996, Feb Average, Spain, ESP
55.0793, 1996, Mar Average, Spain, ESP
43.5013, 1996, Apr Average, Spain, ESP
78.0936, 1996, May Average, Spain, ESP
20.1902, 1996, Jun Average, Spain, ESP
18.4429, 1996, Jul Average, Spain, ESP
33.1523, 1996, Aug Average, Spain, ESP
54.6556, 1996, Sep Average, Spain, ESP
35.1243, 1996, Oct Average, Spain, ESP
86.4959, 1996, Nov Average, Spain, ESP
170.738, 1996, Dec Average, Spain, ESP
124.462, 1997, Jan Average, Spain, ESP
7.2658, 1997, Feb Average, Spain, ESP
3.45888, 1997, Mar Average, Spain, ESP
42.9951, 1997, Apr Average, Spain, ESP
85.0676, 1997, May Average, Spain, ESP
59.9903, 1997, Jun Average, Spain, ESP
40.5766, 1997, Jul Average, Spain, ESP
51.8888, 1997, Aug Average, Spain, ESP
42.2528, 1997, Sep Average, Spain, ESP
51.2057, 1997, Oct Average, Spain, ESP
150.381, 1997, Nov Average, Spain, ESP
118.097, 1997, Dec Average, Spain, ESP
48.9719, 1998, Jan Average, Spain, ESP
40.1569, 1998, Feb Average, Spain, ESP
20.9153, 1998, Mar Average, Spain, ESP
66.1168, 1998, Apr Average, Spain, ESP
83.0639, 1998, May Average, Spain, ESP
23.8396, 1998, Jun Average, Spain, ESP
10.0496, 1998, Jul Average, Spain, ESP
19.632, 1998, Aug Average, Spain, ESP
58.4102, 1998, Sep Average, Spain, ESP
30.3543, 1998, Oct Average, Spain, ESP
30.588, 1998, Nov Average, Spain, ESP
52.2639, 1998, Dec Average, Spain, ESP
46.2056, 1999, Jan Average, Spain, ESP
28.5843, 1999, Feb Average, Spain, ESP
59.4332, 1999, Mar Average, Spain, ESP
44.1194, 1999, Apr Average, Spain, ESP
53.8177, 1999, May Average, Spain, ESP
18.3297, 1999, Jun Average, Spain, ESP
24.6199, 1999, Jul Average, Spain, ESP
21.8532, 1999, Aug Average, Spain, ESP
77.3671, 1999, Sep Average, Spain, ESP
108.409, 1999, Oct Average, Spain, ESP
43.812, 1999, Nov Average, Spain, ESP
47.6985, 1999, Dec Average, Spain, ESP
22.5863, 2000, Jan Average, Spain, ESP
9.37113, 2000, Feb Average, Spain, ESP
35.0248, 2000, Mar Average, Spain, ESP
100.251, 2000, Apr Average, Spain, ESP
68.3284, 2000, May Average, Spain, ESP
21.3555, 2000, Jun Average, Spain, ESP
20.0367, 2000, Jul Average, Spain, ESP
12.0271, 2000, Aug Average, Spain, ESP
