Temperature - (Celsius), Year, Statistics, Country, ISO3
5.3711, 1991, Jan Average, Spain, ESP
5.51411, 1991, Feb Average, Spain, ESP
9.54844, 1991, Mar Average, Spain, ESP
10.2288, 1991, Apr Average, Spain, ESP
14.0506, 1991, May Average, Spain, ESP
19.4024, 1991, Jun Average, Spain, ESP
23.2758, 1991, Jul Average, Spain, ESP
24.1959, 1991, Aug Average, Spain, ESP
20.5503, 1991, Sep Average, Spain, ESP
12.5813, 1991, Oct Average, Spain, ESP
8.96083, 1991, Nov Average, Spain, ESP
6.44105, 1991, Dec Average, Spain, ESP
4.26265, 1992, Jan Average, Spain, ESP
6.51471, 1992, Feb Average, Spain, ESP
9.50415, 1992, Mar Average, Spain, ESP
11.7148, 1992, Apr Average, Spain, ESP
16.4752, 1992, May Average, Spain, ESP
16.5824, 1992, Jun Average, Spain, ESP
22.7319, 1992, Jul Average, Spain, ESP
23.223, 1992, Aug Average, Spain, ESP
18.8345, 1992, Sep Average, Spain, ESP
12.4911, 1992, Oct Average, Spain, ESP
10.3471, 1992, Nov Average, Spain, ESP
7.19247, 1992, Dec Average, Spain, ESP
5.73659, 1993, Jan Average, Spain, ESP
6.34557, 1993, Feb Average, Spain, ESP
8.93736, 1993, Mar Average, Spain, ESP
10.7373, 1993, Apr Average, Spain, ESP
14.3336, 1993, May Average, Spain, ESP
19.3241, 1993, Jun Average, Spain, ESP
22.1832, 1993, Jul Average, Spain, ESP
22.6828, 1993, Aug Average, Spain, ESP
17.4683, 1993, Sep Average, Spain, ESP
11.804, 1993, Oct Average, Spain, ESP
8.20128, 1993, Nov Average, Spain, ESP
7.04586, 1993, Dec Average, Spain, ESP
5.84137, 1994, Jan Average, Spain, ESP
6.92937, 1994, Feb Average, Spain, ESP
11.0051, 1994, Mar Average, Spain, ESP
10.5511, 1994, Apr Average, Spain, ESP
15.2146, 1994, May Average, Spain, ESP
19.863, 1994, Jun Average, Spain, ESP
23.7982, 1994, Jul Average, Spain, ESP
23.413, 1994, Aug Average, Spain, ESP
17.6203, 1994, Sep Average, Spain, ESP
14.6232, 1994, Oct Average, Spain, ESP
11.0459, 1994, Nov Average, Spain, ESP
7.4757, 1994, Dec Average, Spain, ESP
6.54656, 1995, Jan Average, Spain, ESP
8.42585, 1995, Feb Average, Spain, ESP
9.63153, 1995, Mar Average, Spain, ESP
12.2162, 1995, Apr Average, Spain, ESP
16.3491, 1995, May Average, Spain, ESP
19.3239, 1995, Jun Average, Spain, ESP
23.4475, 1995, Jul Average, Spain, ESP
23.0999, 1995, Aug Average, Spain, ESP
17.2776, 1995, Sep Average, Spain, ESP
16.2855, 1995, Oct Average, Spain, ESP
10.9913, 1995, Nov Average, Spain, ESP
7.87875, 1995, Dec Average, Spain, ESP
7.39839, 1996, Jan Average, Spain, ESP
5.91913, 1996, Feb Average, Spain, ESP
8.97667, 1996, Mar Average, Spain, ESP
12.086, 1996, Apr Average, Spain, ESP
14.4831, 1996, May Average, Spain, ESP
20.5954, 1996, Jun Average, Spain, ESP
22.8568, 1996, Jul Average, Spain, ESP
21.5356, 1996, Aug Average, Spain, ESP
17.4933, 1996, Sep Average, Spain, ESP
13.9445, 1996, Oct Average, Spain, ESP
9.53937, 1996, Nov Average, Spain, ESP
6.93843, 1996, Dec Average, Spain, ESP
5.86181, 1997, Jan Average, Spain, ESP
8.98203, 1997, Feb Average, Spain, ESP
11.9149, 1997, Mar Average, Spain, ESP
13.5777, 1997, Apr Average, Spain, ESP
15.4448, 1997, May Average, Spain, ESP
18.3324, 1997, Jun Average, Spain, ESP
21.5751, 1997, Jul Average, Spain, ESP
22.9021, 1997, Aug Average, Spain, ESP
20.4228, 1997, Sep Average, Spain, ESP
16.31, 1997, Oct Average, Spain, ESP
10.2395, 1997, Nov Average, Spain, ESP
7.14585, 1997, Dec Average, Spain, ESP
7.14933, 1998, Jan Average, Spain, ESP
8.64435, 1998, Feb Average, Spain, ESP
11.0509, 1998, Mar Average, Spain, ESP
10.6103, 1998, Apr Average, Spain, ESP
14.9261, 1998, May Average, Spain, ESP
19.792, 1998, Jun Average, Spain, ESP
23.0785, 1998, Jul Average, Spain, ESP
23.6987, 1998, Aug Average, Spain, ESP
19.3168, 1998, Sep Average, Spain, ESP
13.702, 1998, Oct Average, Spain, ESP
9.2829, 1998, Nov Average, Spain, ESP
5.51674, 1998, Dec Average, Spain, ESP
6.02585, 1999, Jan Average, Spain, ESP
6.45989, 1999, Feb Average, Spain, ESP
9.54112, 1999, Mar Average, Spain, ESP
12.1325, 1999, Apr Average, Spain, ESP
16.3194, 1999, May Average, Spain, ESP
19.7646, 1999, Jun Average, Spain, ESP
23.4609, 1999, Jul Average, Spain, ESP
22.9921, 1999, Aug Average, Spain, ESP
19.3051, 1999, Sep Average, Spain, ESP
14.4944, 1999, Oct Average, Spain, ESP
8.24683, 1999, Nov Average, Spain, ESP
6.3848, 1999, Dec Average, Spain, ESP
4.39651, 2000, Jan Average, Spain, ESP
9.04715, 2000, Feb Average, Spain, ESP
10.2235, 2000, Mar Average, Spain, ESP
10.5107, 2000, Apr Average, Spain, ESP
16.1069, 2000, May Average, Spain, ESP
20.5909, 2000, Jun Average, Spain, ESP
21.9925, 2000, Jul Average, Spain, ESP
22.5909, 2000, Aug Average, Spain, ESP
19.566, 2000, Sep Average, Spain, ESP
13.7694, 2000, Oct Average, Spain, ESP
8.95628, 2000, Nov Average, Spain, ESP
8.09397, 2000, Dec Average, Spain, ESP
7.27061, 2001, Jan Average, Spain, ESP
7.74297, 2001, Feb Average, Spain, ESP
11.2655, 2001, Mar Average, Spain, ESP
11.9549, 2001, Apr Average, Spain, ESP
15.41, 2001, May Average, Spain, ESP
20.787, 2001, Jun Average, Spain, ESP
22.1715, 2001, Jul Average, Spain, ESP
23.1579, 2001, Aug Average, Spain, ESP
18.7615, 2001, Sep Average, Spain, ESP
15.8616, 2001, Oct Average, Spain, ESP
7.89411, 2001, Nov Average, Spain, ESP
4.4322, 2001, Dec Average, Spain, ESP
6.86332, 2002, Jan Average, Spain, ESP
8.16887, 2002, Feb Average, Spain, ESP
10.1889, 2002, Mar Average, Spain, ESP
11.7937, 2002, Apr Average, Spain, ESP
14.3068, 2002, May Average, Spain, ESP
20.0219, 2002, Jun Average, Spain, ESP
22.0796, 2002, Jul Average, Spain, ESP
21.4205, 2002, Aug Average, Spain, ESP
18.5738, 2002, Sep Average, Spain, ESP
14.763, 2002, Oct Average, Spain, ESP
10.1006, 2002, Nov Average, Spain, ESP
8.42864, 2002, Dec Average, Spain, ESP
5.82612, 2003, Jan Average, Spain, ESP
6.12793, 2003, Feb Average, Spain, ESP
10.5049, 2003, Mar Average, Spain, ESP
11.9715, 2003, Apr Average, Spain, ESP
16.1591, 2003, May Average, Spain, ESP
22.0474, 2003, Jun Average, Spain, ESP
23.5247, 2003, Jul Average, Spain, ESP
24.5143, 2003, Aug Average, Spain, ESP
20.056, 2003, Sep Average, Spain, ESP
13.7112, 2003, Oct Average, Spain, ESP
10.1481, 2003, Nov Average, Spain, ESP
6.77003, 2003, Dec Average, Spain, ESP
7.33214, 2004, Jan Average, Spain, ESP
6.96636, 2004, Feb Average, Spain, ESP
8.50519, 2004, Mar Average, Spain, ESP
10.9754, 2004, Apr Average, Spain, ESP
14.2752, 2004, May Average, Spain, ESP
21.4769, 2004, Jun Average, Spain, ESP
23.1244, 2004, Jul Average, Spain, ESP
22.9163, 2004, Aug Average, Spain, ESP
20.1588, 2004, Sep Average, Spain, ESP
15.1476, 2004, Oct Average, Spain, ESP
8.46375, 2004, Nov Average, Spain, ESP
6.40726, 2004, Dec Average, Spain, ESP
4.89084, 2005, Jan Average, Spain, ESP
4.59118, 2005, Feb Average, Spain, ESP
9.05311, 2005, Mar Average, Spain, ESP
12.0033, 2005, Apr Average, Spain, ESP
16.4821, 2005, May Average, Spain, ESP
21.8067, 2005, Jun Average, Spain, ESP
23.5197, 2005, Jul Average, Spain, ESP
22.8505, 2005, Aug Average, Spain, ESP
19.0937, 2005, Sep Average, Spain, ESP
15.2046, 2005, Oct Average, Spain, ESP
