COMUNIDADES AUTÓNOMAS,CAMIONES Y FURGONETAS,AUTOBUSES,TURISMOS,MOTOCICLETAS,TRACTORES INDUSTRIALES,REMOLQUES Y SEMIRREMOLQUES,OTROS VEHICULOS,TOTAL,AÑO
Andalucía,91.556,925,404.682,41.257,4.615,0,17.833,560.868,2007
Aragón,18.554,326,73.853,5.774,898,0,8.448,107.853,2007
Asturias,11.147,193,55.670,4.498,704,0,3.004,75.216,2007
Illes Ballears,11.269,70,64.794,5.984,171,0,1.320,83.608,2007
Canarias,29.354,208,94.567,9.862,550,0,3.385,137.926,2007
Cantabria,5.270,85,26.007,2.664,420,0,1.277,35.723,2007
Castilla-La Mancha,32.733,387,128.813,8.553,2.179,0,10.188,182.853,2007
Castilla y León,25.633,344,119.963,8.355,2.077,0,10.945,167.317,2007
Cataluña,92.162,662,419.239,50.738,3.144,0,15.731,581.676,2007
Extremadura,13.880,124,57.983,3.799,827,0,4.334,80.947,2007
Galicia,25.805,457,139.448,11.393,1.684,0,9.653,188.440,2007
Madrid,86.601,1.653,430.209,25.005,3.756,0,8.552,555.776,2007
R. Murcia,17.827,281,80.131,7.202,2.047,0,4.681,112.169,2007
C.F. Navarra,9.884,70,34.124,2.740,512,0,2.626,49.956,2007
La Rioja,5.628,30,17.308,1.199,210,0,1.459,25.834,2007
C. Valenciana,55.755,408,275.156,25.629,4.100,0,9.915,370.963,2007
País Vasco,20.666,397,98.039,9.575,963,0,3.441,133.081,2007
Ceuta y Melilla,1.495,3,7.596,886,8,0,154,10.142,2007
TOTAL GENERAL,555.219,6.623,2.527.582,225.113,28.865,0,116.946,3.460.348,2007
Andalucía,83.711,713,349.082,40.245,3.787,0,10.788,488.326,2008
Aragón,16.037,107,62.394,5.630,985,0,4.721,89.874,2008
Asturias (Principado de),10.454,165,49.338,4.545,690,0,1.937,67.129,2008
Balears (Illes),9.865,168,57.015,5.776,102,0,733,73.659,2008
Canarias,26.156,214,83.961,9.680,344,0,2.497,122.852,2008
Cantabria,5.081,81,22.297,2.590,351,0,872,31.272,2008
Castilla y León,23.875,248,105.768,8.435,1.702,0,4.596,144.624,2008
Castilla-La Mancha,30.990,519,123.932,8.367,1.756,0,3.933,169.497,2008
Cataluña,83.925,664,368.923,49.751,2.553,0,11.803,517.619,2008
Comunitat Valenciana,50.450,295,236.146,24.304,3.360,0,7.030,321.585,2008
Extremadura,12.206,187,48.786,3.943,699,0,2.031,67.852,2008
Galicia,23.894,372,120.800,11.478,1.334,0,3.950,161.828,2008
Madrid (Comunidad de),81.128,1.770,391.580,24.489,4.255,0,8.457,511.679,2008
Murcia (Región de),15.173,248,63.483,6.487,1.640,0,3.133,90.164,2008
Navarra (Comunidad Foral de),9.234,55,30.787,2.663,435,0,1.492,44.666,2008
País Vasco,19.237,382,91.007,9.896,834,0,2.754,124.110,2008
Rioja (La),4.734,38,14.368,1.096,209,0,488,20.933,2008
Ceuta y Melilla,1.600,6,8.036,926,6,0,120,10.694,2008
TOTAL GENERAL,507.750,6.232,2.227.703,220.301,25.042,0,71.335,3.058.363,2008
Andalucía,80.376,705,322.685,40.344,3.034,4.085,5.553,456.782,2009
Aragón,15.968,77,62.172,5.849,896,2.449,1.281,88.692,2009
Asturias (Principado de),10.069,162,50.036,4.910,410,674,1.090,67.351,2009
Balears (Illes),9.721,101,50.617,5.900,201,280,372,67.192,2009
Canarias,24.607,122,76.673,9.349,279,779,1.472,113.281,2009
Cantabria,4.734,111,21.371,2.618,349,454,434,30.071,2009
Castilla y León,24.885,278,108.392,9.092,1.586,1.879,2.494,148.606,2009
Castilla-La Mancha,31.308,448,116.745,8.318,1.875,1.837,2.005,162.536,2009
Cataluña,80.931,610,344.079,49.468,2.366,4.592,5.816,487.862,2009
Comunitat Valenciana,46.868,353,196.509,23.141,2.715,3.370,2.345,275.301,2009
Extremadura,12.787,137,48.439,3.998,583,881,1.058,67.883,2009
Galicia,23.448,398,121.431,11.693,1.202,1.599,2.330,162.101,2009
Madrid (Comunidad de),89.707,927,395.291,24.478,5.594,2.127,6.192,524.316,2009
Murcia (Región de),15.692,349,61.886,6.737,1.468,1.897,823,88.852,2009
Navarra (Comunidad Foral de),8.351,197,29.689,2.814,423,522,702,42.698,2009
País Vasco,17.981,309,90.443,9.796,801,1.059,2.355,122.744,2009
Rioja (La),4.378,32,14.303,1.113,134,196,264,20.420,2009
Ceuta y Melilla,1.840,3,8.380,970,8,16,116,11.333,2009
TOTAL GENERAL,503.651,5.319,2.119.141,220.588,23.924,28.696,36.702,2.938.021,2009
Andalucía,85.969,750,319.141,40.067,3.664,4.486,5.786,459.863,2010
Aragón,15.377,72,54.408,5.711,953,2.842,1.345,80.708,2010
Asturias (Principado de),10.370,190,47.264,4.766,486,695,1.062,64.833,2010
Balears (Illes),10.464,193,52.195,6.107,278,308,367,69.912,2010
Canarias,26.500,196,79.594,9.592,327,892,1.527,118.628,2010
Cantabria,4.584,38,21.104,2.657,547,519,449,29.898,2010
Castilla y León,25.904,233,106.004,9.059,1.795,2.224,2.510,147.729,2010
Castilla-La Mancha,34.081,460,111.956,8.171,2.122,1.955,2.267,161.012,2010
Cataluña,85.468,732,350.938,49.711,2.961,4.846,5.592,500.248,2010
Comunitat Valenciana,48.547,385,197.441,23.457,3.516,3.418,2.232,278.996,2010
Extremadura,13.509,143,46.871,4.040,632,771,1.242,67.208,2010
Galicia,25.106,363,120.457,11.756,1.578,1.956,2.448,163.664,2010
Madrid (Comunidad de),104.298,1.408,417.787,24.557,5.948,2.224,4.673,560.895,2010
Murcia (Región de),17.270,236,63.149,6.741,1.591,1.860,929,91.776,2010
Navarra (Comunidad Foral de),9.259,60,31.436,3.062,372,550,763,45.502,2010
País Vasco,18.413,331,87.471,10.058,956,1.138,1.914,120.281,2010
Rioja (La),4.583,9,13.929,1.212,105,202,499,20.539,2010
Ceuta y Melilla,1.923,0,8.069,1.093,5,15,131,11.236,2010
TOTAL,541.625,5.799,2.129.214,221.817,27.836,30.901,35.736,2.992.928,2010
Andalucía,82.455,602,309.642,42.492,4.071,4.895,6.057,450.214,2011
Aragón,14.088,51,50.452,5.946,1.061,3.337,1.313,76.248,2011
