MESES;CAMIONES Y FURGONETAS;AUTOBUSES;TURISMOS;MOTOCICLETAS;TRACTORES INDUSTRIALES;REMOLQUES Y SEMIRREMOLQUES;OTROS VEHICULOS;TOTAL;AÑO
Enero;38.404;410;153.606;16.213;2.693;2.658;2.978;216.962;2013
Febrero;42.333;413;164.855;17.284;2.593;2.824;3.143;233.445;2013
Marzo;41.756;429;158.638;17.351;2.577;3.074;3.140;226.965;2013
Abril;46.114;445;179.263;22.443;2.815;3.445;3.730;258.255;2013
Mayo;45.312;475;178.151;24.424;2.619;3.205;3.703;257.889;2013
Junio;41.295;456;165.561;22.053;2.260;2.835;3.330;237.790;2013
Julio;44.636;870;186.999;25.720;2.666;3.076;3.390;267.357;2013
Agosto;33.758;369;143.941;19.695;2.023;2.289;2.651;204.726;2013
Septiembre;38.179;675;164.450;21.688;2.330;2.950;2.851;233.123;2013
Octubre;47.911;552;199.731;24.999;3.148;3.716;3.848;283.905;2013
Noviembre ;43.566;482;180.428;19.795;2.615;3.034;3.349;253.269;2013
Diciembre;52.402;349;227.684;20.203;2.877;3.350;7.157;314.022;2013
TOTAL ;515.666;5.925;2.103.307;251.868;31.216;36.456;43.270;2.987.708;2014
Enero;37341;395;152536;17816;2588;2773;2903;216352;2014
Febrero;44347;479;180301;19765;2807;3396;3461;254556;2014
Marzo;45616;422;182696;22769;2806;3247;3443;260999;2014
Abril;41193;405;169814;23432;2415;3152;3540;243951;2014
Mayo;42648;456;181329;26052;2343;3279;3546;259653;2014
Junio;40120;326;167312;24890;2342;2933;3200;241123;2014
Julio;43229;597;192469;27177;2619;3077;3282;272450;2014
Agosto;31307;445;141506;19529;2116;2113;2391;199407;2014
Septiembre;40008;625;179695;24100;2555;2959;3033;252975;2014
Octubre;48224;509;214876;26991;3028;3419;3463;300510;2014
Noviembre ;43396;464;189997;22092;2589;3058;3281;264877;2014
Diciembre;52600;542;242836;22399;3173;3525;3664;328739;2014
TOTAL ;510029;5665;2195367;277012;31381;36931;39207;3095592;2014
Enero;35479;399;155360;17299;2388;2526;2283;215734;2015
Febrero;44369;483;190160;19854;3057;3201;2986;264110;2015
Marzo;46426;486;195001;24835;3199;3439;3673;277059;2015
Abril;40863;496;171658;25377;2790;3362;3272;247818;2015
Mayo;40211;437;171939;26592;2709;3361;3158;248407;2015
Junio;42923;470;186446;28675;2945;3613;3154;268226;2015
Julio;44086;681;199969;29766;2842;3314;3190;283848;2015
Agosto;34140;500;155723;21391;2195;2516;2311;218776;2015
Septiembre;40230;657;184296;25771;2558;2806;2990;259308;2015
Octubre;45661;535;200544;26949;3047;3509;3163;283408;2015
Noviembre ;48905;587;212315;25291;2946;3368;3090;296502;2015
Diciembre;53024;536;251056;25101;2907;3489;4078;340191;2015
TOTAL ;516317;6267;2274467;296901;33583;38504;37348;3203387;2015
Enero;35875;334;156425;19430;3103;2868;2379;220414;2016
Febrero;46869;487;201813;24552;3530;3925;3417;284593;2016
Marzo;46614;472;200272;24652;3234;3487;3458;282189;2016
Abril;46808;484;201786;27541;3071;3794;3527;287011;2016
Mayo;44703;471;200816;29259;2912;3426;3455;285042;2016
Junio;45756;518;210807;30712;3027;3673;3280;297773;2016
Julio;39854;571;189201;27260;2668;2894;2688;265136;2016
Agosto;35815;591;179236;24151;2307;2512;2357;246969;2016
Septiembre;42510;642;211636;27876;3175;2983;2820;291642;2016
Octubre;44227;442;217169;26751;3021;3063;2766;297439;2016
Noviembre ;49410;567;244764;26503;3384;3468;3248;331344;2016
Diciembre;55214;481;285296;25461;3186;3261;3788;376687;2016
TOTAL ;533655;6060;2499221;314148;36618;39354;37183;3466239;2016
Enero;36544;347;188281;20092;2649;2675;2461;253049;2017
Febrero;45365;454;215101;23570;3065;3301;3038;293894;2017
Marzo;52845;510;251254;31373;3318;4031;3824;347155;2017
Abril;39788;388;196646;26450;2379;3009;2999;271659;2017
Mayo;48139;456;237704;33021;2683;3578;3762;329343;2017
Junio;45533;434;237659;31649;2973;3276;3259;324783;2017
Julio;41707;628;225277;28645;2647;3011;2806;304721;2017
Agosto;37327;490;207744;24334;2303;2296;2428;276922;2017
Septiembre;40007;735;219187;26384;2830;3078;2728;294949;2017
Octubre;46317;476;251867;28944;3149;3457;3124;337334;2017
Noviembre ;48817;486;264892;28641;3323;3652;3214;353025;2017
Diciembre;52440;440;293899;24576;3096;3373;3351;381175;2017
TOTAL ;534829;5844;2789511;327679;34415;38737;36994;3768009;2017
Enero;39678;463;217095;20941;3131;2931;2686;286925;2018
Febrero;45467;523;232207;23712;3010;3186;3187;311292;2018
Marzo;47770;387;241035;25116;3274;3833;3440;324855;2018
Abril;46147;330;235353;26792;2952;3274;3822;318670;2018
Mayo;53633;336;267875;32268;3155;3362;3460;364089;2018
Junio;45977;326;242218;31109;2995;3329;3202;329156;2018
Julio;43636;490;243461;30075;2908;3742;2982;327294;2018
Agosto;37043;545;209701;24692;3733;2878;2461;281053;2018
Septiembre;39871;509;234684;27185;2499;2752;2654;310154;2018
Octubre;50747;570;282395;32062;3675;3597;3364;376410;2018
Noviembre ;49021;472;272043;26506;3395;3397;3304;358138;2018
Diciembre;52037;376;295616;25451;2810;3451;3228;382969;2018
TOTAL ;551027;5327;2973683;325909;37537;39732;37790;3971005;2018
Enero;41179;399;230155;23063;2828;3084;2727;303435;2019
Febrero;46553;373;240212;26104;3143;3400;3543;323328;2019
Marzo;48840;518;250319;30487;3215;3508;3575;340462;2019
Abril;44589;399;232116;29184;2838;3329;3595;316050;2019
Mayo;48276;398;256425;33896;3026;3667;3762;349450;2019
Junio;41607;323;230714;29887;2699;2961;3101;311292;2019
Julio;47108;514;266639;33459;2996;3119;3360;357195;2019
Agosto;36039;443;206485;24215;2257;2179;2405;274023;2019
Septiembre;41847;523;235299;28720;2771;2797;2869;314826;2019
Octubre;51634;473;289547;33914;3777;3609;3810;386764;2019
Noviembre ;46711;445;263879;26535;3244;3134;3309;347257;2019
Diciembre;56860;418;312360;27354;3202;3069;4467;407730;2019
TOTAL ;551243;5226;3014150;346818;35996;37856;40523;4031812;2019
