comunidadesAutonomas,camionesYfurgonetas,autobuses,turismos,motocicletas,tractoresIndustriales,remolquesYsemirremolques,otrosVehiculos,total,anyo
Andalucia,91556,925,404682,41257,4615,0,17833,560868,2007
Aragon,18554,326,73853,5774,898,0,8448,107853,2007
Asturias,11147,193,55670,4498,704,0,3004,75216,2007
Illes Ballears,11269,70,64794,5984,171,0,1320,83608,2007
Canarias,29354,208,94567,9862,550,0,3385,137926,2007
Cantabria,5270,85,26007,2664,420,0,1277,35723,2007
Castilla La Mancha,32733,387,128813,8553,2179,0,10188,182853,2007
Castilla y Leon,25633,344,119963,8355,2077,0,10945,167317,2007
Catalunya,92162,662,419239,50738,3144,0,15731,581676,2007
Extremadura,13880,124,57983,3799,827,0,4334,80947,2007
Galicia,25805,457,139448,11393,1684,0,9653,188440,2007
Madrid,86601,1653,430209,25005,3756,0,8552,555776,2007
Murcia,17827,281,80131,7202,2047,0,4681,112169,2007
Navarra,9884,70,34124,2740,512,0,2626,49956,2007
La Rioja,5628,30,17308,1199,210,0,1459,25834,2007
Comunidad Valenciana,55755,408,275156,25629,4100,0,9915,370963,2007
Pais Vasco,20666,397,98039,9575,963,0,3441,133081,2007
Ceuta y Melilla,1495,3,7596,886,8,0,154,10142,2007
TOTAL GENERAL,555219,6623,2527582,225113,28865,0,116946,3460348,2007
Andalucia,83711,713,349082,40245,3787,0,10788,488326,2008
Aragon,16037,107,62394,5630,985,0,4721,89874,2008
Asturias,10454,165,49338,4545,690,0,1937,67129,2008
Illes Ballears,9865,168,57015,5776,102,0,733,73659,2008
Canarias,26156,214,83961,9680,344,0,2497,122852,2008
Cantabria,5081,81,22297,2590,351,0,872,31272,2008
Castilla La Mancha,23875,248,105768,8435,1702,0,4596,144624,2008
Castilla y Leon,30990,519,123932,8367,1756,0,3933,169497,2008
Catalunya,83925,664,368923,49751,2553,0,11803,517619,2008
Extremadura,50450,295,236146,24304,3360,0,7030,321585,2008
Galicia,12206,187,48786,3943,699,0,2031,67852,2008
Madrid,23894,372,120800,11478,1334,0,3950,161828,2008
Murcia,81128,1770,391580,24489,4255,0,8457,511679,2008
Navarra,15173,248,63483,6487,1640,0,3133,90164,2008
La Rioja,9234,55,30787,2663,435,0,1492,44666,2008
Comunidad Valenciana,19237,382,91007,9896,834,0,2754,124110,2008
Pais Vasco,4734,38,14368,1096,209,0,488,20933,2008
Ceuta y Melilla,1600,6,8036,926,6,0,120,10694,2008
TOTAL GENERAL,507750,6232,2227703,220301,25042,0,71335,3058363,2008
Andalucia,80376,705,322685,40344,3034,4085,5553,456782,2009
Aragon,15968,77,62172,5849,896,2449,1281,88692,2009
Asturias,10069,162,50036,4910,410,674,1090,67351,2009
Illes Ballears,9721,101,50617,5900,201,280,372,67192,2009
Canarias,24607,122,76673,9349,279,779,1472,113281,2009
Cantabria,4734,111,21371,2618,349,454,434,30071,2009
Castilla La Mancha,24885,278,108392,9092,1586,1879,2494,148606,2009
Castilla y Leon,31308,448,116745,8318,1875,1837,2005,162536,2009
Catalunya,80931,610,344079,49468,2366,4592,5816,487862,2009
Extremadura,46868,353,196509,23141,2715,3370,2345,275301,2009
Galicia,12787,137,48439,3998,583,881,1058,67883,2009
Madrid,23448,398,121431,11693,1202,1599,2330,162101,2009
Murcia,89707,927,395291,24478,5594,2127,6192,524316,2009
Navarra,15692,349,61886,6737,1468,1897,823,88852,2009
La Rioja,8351,197,29689,2814,423,522,702,42698,2009
Comunidad Valenciana,17981,309,90443,9796,801,1059,2355,122744,2009
Pais Vasco,4378,32,14303,1113,134,196,264,20420,2009
Ceuta y Melilla,1840,3,8380,970,8,16,116,11333,2009
TOTAL GENERAL,503651,5319,2119141,220588,23924,28696,36702,2938021,2009
Andalucia,85969,750,319141,40067,3664,4486,5786,459863,2010
Aragon,15377,72,54408,5711,953,2842,1345,80708,2010
Asturias,10370,190,47264,4766,486,695,1062,64833,2010
Illes Ballears,10464,193,52195,6107,278,308,367,69912,2010
Canarias,26500,196,79594,9592,327,892,1527,118628,2010
Cantabria,4584,38,21104,2657,547,519,449,29898,2010
Castilla La Mancha,25904,233,106004,9059,1795,2224,2510,147729,2010
Castilla y Leon,34081,460,111956,8171,2122,1955,2267,161012,2010
Catalunya,85468,732,350938,49711,2961,4846,5592,500248,2010
Extremadura,48547,385,197441,23457,3516,3418,2232,278996,2010
Galicia,13509,143,46871,4040,632,771,1242,67208,2010
Madrid,25106,363,120457,11756,1578,1956,2448,163664,2010
Murcia,104298,1408,417787,24557,5948,2224,4673,560895,2010
Navarra,17270,236,63149,6741,1591,1860,929,91776,2010
La Rioja,9259,60,31436,3062,372,550,763,45502,2010
Comunidad Valenciana,18413,331,87471,10058,956,1138,1914,120281,2010
Pais Vasco,4583,9,13929,1212,105,202,499,20539,2010
Ceuta y Melilla,1923,0,8069,1093,5,15,131,11236,2010
TOTAL GENERAL,541625,5799,2129214,221817,27836,30901,35736,2992928,2010
Andalucia,82455,602,309642,42492,4071,4895,6057,450214,2011
Aragon,14088,51,50452,5946,1061,3337,1313,76248,2011
Asturias,10006,137,46386,5296,506,736,1127,64194,2011
Illes Ballears,10637,143,52426,6722,226,387,395,70936,2011
Canarias,27825,212,82052,9972,370,843,1557,122831,2011
Cantabria,4629,69,20793,2662,412,510,432,29507,2011
Castilla La Mancha,24226,304,100814,9767,1721,2187,2761,141780,2011
Castilla y Leon,32343,532,110287,8522,1996,2098,2232,158010,2011
Catalunya,90665,750,370062,50336,3080,5581,5731,526205,2011
Extremadura,47434,372,197816,24077,3836,3738,2431,279704,2011
Galicia,12595,135,42239,4176,625,794,1227,61791,2011
Madrid,24285,310,111402,12290,1447,1847,2760,154341,2011
Murcia,97333,1255,386579,27168,6294,2521,4528,525678,2011
Navarra,16264,263,60601,6694,1588,1828,928,88166,2011
La Rioja,8649,63,29451,3073,331,569,753,42889,2011
Comunidad Valenciana,17953,341,82347,11035,1002,1133,1985,115796,2011
Pais Vasco,4423,12,14027,1267,133,210,349,20421,2011
Ceuta y Melilla,2063,1,8658,1073,9,19,100,11923,2011
TOTAL GENERAL,527873,5552,2076034,232568,28708,33233,36666,2940634,2011
Andalucia,81363,449,304199,41274,3834,5109,5886,442114,2012
Aragon,13996,30,50100,5846,962,3070,1802,75806,2012
Asturias,9624,129,43733,4729,598,923,1068,60804,2012
Illes Ballears,11332,246,54483,7443,318,408,478,74708,2012
Canarias,25791,311,76695,9567,307,779,1503,114953,2012
Cantabria,4674,59,20159,2416,286,426,425,28445,2012
Castilla La Mancha,23654,196,97111,8940,1639,2279,2773,136592,2012
Castilla y Leon,35509,486,124625,7957,1964,2270,2365,175176,2012
Catalunya,85226,567,356742,50593,3025,5164,6057,507374,2012
Extremadura,47415,230,198211,23962,3873,3824,2483,279998,2012
Galicia,12076,110,40294,3803,601,911,1164,58959,2012
Madrid,24399,247,110985,11152,1628,1980,2982,153373,2012
Murcia,85100,1070,377012,25990,8213,2484,4692,504561,2012
Navarra,16488,226,61656,6704,1751,2071,888,89784,2012
La Rioja,8669,55,30107,2679,455,636,740,43341,2012
Comunidad Valenciana,17801,353,80859,10023,958,1101,1781,112876,2012
Pais Vasco,4385,14,13408,1167,117,187,372,19650,2012
Ceuta y Melilla,2405,11,9468,1193,18,17,96,13208,2012
TOTAL GENERAL,509907,4789,2049847,225438,30547,33639,37555,2891722,2012
Andalucia,83733,698,314109,46227,4258,5555,6625,461205,2013
Aragon,14939,380,51691,6223,1091,3399,1488,79211,2013
Asturias,10274,191,45889,5170,602,839,1082,64047,2013
Illes Ballears,12061,222,56413,8414,264,354,477,78205,2013
Canarias,25671,176,78616,10602,336,874,1537,117812,2013
Cantabria,5007,71,21884,2720,374,446,570,31072,2013
Castilla La Mancha,25491,229,100462,9804,1635,2496,2969,143086,2013
Castilla y Leon,39751,559,149339,9152,2273,2287,2832,206193,2013
Catalunya,82691,539,359403,57293,3305,5408,6349,514988,2013
Extremadura,48062,366,202279,26676,4284,4655,2738,289060,2013
Galicia,12957,118,40973,4292,575,949,1395,61259,2013
Madrid,25714,345,116647,12071,1719,2285,2937,161718,2013
Murcia,76129,1267,359681,28657,7040,2494,7991,483259,2013
Navarra,17911,266,65856,7809,1947,2205,956,96950,2013
La Rioja,9475,75,33286,3331,472,703,866,48208,2013
Comunidad Valenciana,18697,403,84502,10835,890,1247,1977,118551,2013
Pais Vasco,4465,20,13008,1334,149,236,378,19590,2013
Ceuta y Melilla,2638,0,9269,1258,2,24,103,13294,2013
